技能名称,相似技能1,相似度1,相似技能2,相似度2,相似技能3,相似度3,相似技能4,相似度4,相似技能5,相似度5,相似技能6,相似度6,相似技能7,相似度7,相似技能8,相似度8,相似技能9,相似度9,相似技能10,相似度10
研发过程管理,区块链行业,0.9,理论基础知识,0.9,主动性优,0.9,需求分析方法,0.9,管理产业链,0.9,头脑思维灵活,0.9,问题解决,0.9,行业信息洞察,0.8,打字流畅,0.76,,
思路清晰文笔,竞争意识,2.4000000000000004,爱管事,2.2800000000000002,陌生人打交道,2.12,沟通表达理,2.05,进取心,1.92,管理潜质,1.8000000000000003,凝聚力,1.45,谦虚谨慎,1.45,职业素质,0.95,效沟通技巧,0.95
webwork,强烈目标感,0.8,各种渠道寻找解决方案,0.76,自我实现驱动力,0.7200000000000001,面向对象的程序设计方法,0.68,逻辑清晰,0.65,事业进取心,0.65,大型活动策划,0.6400000000000001,逻辑性,0.6000000000000001,实践经验,0.5599999999999999,,
形成解决方案,计算机网络,0.8,文字功底,0.8,软件系统,0.8,云计算,0.8,行业销售,0.8,水行业信息化,0.8,交流技能,0.8,财务管理流程,0.76,通信网络技术,0.76,文档撰写,0.7200000000000001
捕捉客户需求点,亲和؜力,0.9,行动力,0.9,沟通表达理,0.9,客户沟通,0.9,四川旅游目,0.9,进取心,0.9,互联网络,0.9,市场观察力,0.8,网络通,0.76,,
造型功底,审美力,2.6,手绘板绘制,2.55,美术基础,1.71,美术功底,1.7000000000000002,sai,1.6600000000000001,想象力,1.65,平面设计用软件,1.65,设计功底,0.95,blender,0.95,设计技巧,0.95
安全规范,服务流程,0.9,流量计,0.9,自律性,0.9,机电安装知识,0.9,公司驱动器,0.9,计算机操作,0.9,伺服驱动器产品,0.9,机器视觉的原理,0.8,电力系统运行规程,0.76,,
国家政策,linux操作命令4,1.0,安全生产管理技术,1.0,漏洞的内在原理,1.0,python程序,1.0,攻防技术,1.0,利用方式,1.0,安全漏洞,1.0,常见攻击,1.0,工程安全生产的法律法规,1.0,人力资源六大板块内容,0.9
国内外主流变频器,电子电气元件,0.8,电气绘图软件,0.76,流体控制,0.75,modbus,0.75,电气系统供电规,0.75,电气接线,0.75,电气设计规范,0.7200000000000001,电路知识,0.68,单片机控制技,0.6400000000000001,,
服务心态,语言表达,0.9,执行力,0.9,效沟通技巧,0.9,普通话标准,0.9,高度额责任心,0.9,进取心,0.9,口齿清晰,0.9,学习的意识,0.8,从用户,0.76,,
计划统筹,数据分析思维,0.85,word文档,0.85,个人近期作品,0.85,自我激励,0.85,业务敏感度,0.85,进取心,0.85,挑战工作的欲望,0.8,思想政治素质,0.76,生活目标,0.7200000000000001,,
挖掘创意,组织调度经验,0.8,社交裂变玩法,0.76,整合内外部资源,0.7200000000000001,项目策划营销流程,0.68,大型庆典活动流程,0.6400000000000001,审美视角,0.6000000000000001,活动项目策划,0.6,提炼重点,0.5599999999999999,时输出专业活动方案给客户,0.52,,
实验平台,匹配分析,0.8,药物研究,0.76,英文书写,0.75,强电工程规范,0.75,发流程,0.75,电控件,0.75,实验报告,0.7200000000000001,发动机轮系,0.68,药代动力,0.6400000000000001,,
usb,keil,2.6,spi,2.56,数字电,2.45,嵌入式软件,1.7200000000000002,stm32,1.6099999999999999,数字滤波器,1.56,模拟电路,1.52,电路板设计,1.3200000000000003,高速外设接口,1.0,mipi,1.0
游戏的经济体系,部分产品,0.8,棋牌行业环境,0.76,口头表达流,0.7200000000000001,深度体验过bingo,0.68,slots,0.6400000000000001,持久力爆表,0.6000000000000001,总结游戏规则,0.5599999999999999,清晰规划设计架构,0.52,游戏行业充满激情,0.48,,
积极主动,化办公软件,2.3200000000000003,人际交往,1.8,执行力,1.6,信用度,0.9,书面英语,0.9,快速适应,0.9,公司各项政策,0.9,创新意识,0.9,自律性,0.9,复杂问题的处理,0.9
产品项目管理相关工具,软件需求分析,1.0,三维设计工具,1.0,铸铁类产品开发流程,1.0,axcure,1.0,互联网快速迭代开发的模式,1.0,结合用户需求设计开发产品,1.0,产品设计相关流程,1.0,管理流程,1.0,在校成绩良好,1.0,,
服装工艺,价值观正善,0.85,材料结构研发,0.85,国外服装流行品牌,0.85,服装设计软件,0.85,服装款式的设计风格,0.85,热爱时尚,0.85,服装搭配技巧,0.8,色彩触觉敏感,0.76,认真肯干,0.7200000000000001,,
综艺艺人统筹,招聘渠道开发,0.8,文字编写,0.76,沟通谈判,0.7200000000000001,商务拓展,0.68,与政府大型企业合作,0.65,头部制作公司的综艺资源,0.65,团队合作经验,0.6400000000000001,互帮互助精神,0.6000000000000001,谦虚谨慎,0.5599999999999999,,
确介绍产品规格,探索主动意识,0.8,口齿清晰,0.76,专业知识,0.7200000000000001,市场开拓,0.7,表达沟通,0.7,陌生人打交道,0.7,性格坚韧,0.68,沟通表达理,0.6400000000000001,区域楼盘情况,0.6000000000000001,,
各类新媒体,专题策划,0.95,专题报道,0.95,宏观思维,0.95,代表性作,0.95,思想成熟,0.95,网络社会化媒体传播形式,0.95,表述逻辑,0.95,公众号运营,0.95,敏感的网感,0.8,,
基本商务接待礼仪,行政公文撰写,1.0,主动沟通意识,1.0,道德品质,1.0,公文写作功底,1.0,书面表达,1.0,头脑灵活,1.0,人力资源,1.0,服务意识足,1.0,亲和؜力,1.0,,
实验室的操作方法,电化学工作站,0.8,机硅合成树脂,0.8,学科功底,0.8,化学分析实验设备,0.8,自我激励,0.8,实验室常规实验设备使用,0.8,聚氨酯,0.76,化学反应,0.7200000000000001,电化学表,0.68,,
饮料生产研发相关设备,组织编写说明书,0.8,复合材料生产的成型工艺,0.8,实验设备,0.8,工艺材料基本常识,0.8,产品的常规缺陷,0.8,善创变,0.8,优化老产品的工艺,0.76,降低生产能耗,0.7200000000000001,高度认同细胞治疗行业前景,0.68,,
多线程处理,java语言,3.12,数据结构,2.95,mybati,2.8400000000000003,springcloud,2.04,redis,1.79,python程序,1.2400000000000002,html5css,1.2000000000000002,金融产品架构,0.8,android,0.8,产品交互的体验,0.8
合同管理,国家相关法规,0.8,人力资源六大板块内容,0.76,职业道德,0.7200000000000001,人力资源管理各项实务的操作流程,0.68,亲和؜力,0.6400000000000001,国家劳动法规,0.6000000000000001,沟通表达理,0.6,国家各项劳动人事法规政策,0.5599999999999999,化办公软件,0.52,,
舒适性评价标准,自动空调,1.75,热管理标定方法,1.75,python程序,1.0,linux操作命令4,1.0,后端技术,1.0,中断处理,1.0,设计开发经验,1.0,html5css,1.0,面向对象软件结构知识,1.0,pid,0.8
解决客户的技术问题,科研背景,0.8,读英文科学文献,0.8,分子生物学技能,0.8,人力资源实务理论,0.8,用户服务意识,0.8,物流仓储行业运筹优化算法,0.8,启发式的方式向客户介绍复杂的科学结果,0.76,创新研究思路,0.7200000000000001,相关器材,0.68,,
校园活动实施,社交人脉基础,0.8,陌生人打交道,0.76,校园推广,0.7200000000000001,offic办公软件,0.7,抗压性,0.7,社团工作经历,0.7,人脉关系,0.68,团队意识,0.6400000000000001,目标敏感,0.6000000000000001,,
基于单片机,电子产品设计开发流程,0.8,硬件原理,0.76,英语四级通,0.7200000000000001,电子元器件选型,0.7,数字电,0.7,开发工具,0.7,成功制作的案,0.68,基本硬件电路设计,0.6400000000000001,常规模拟电路,0.6000000000000001,,
化学分析实验设备,机硅合成树脂,0.8,聚氨酯,0.76,化学反应,0.7200000000000001,电化学表,0.68,实验室的操作方法,0.6400000000000001,电化学工作站,0.6000000000000001,实验室常规实验设备使用,0.5599999999999999,自我激励,0.52,学科功底,0.48,,
严谨的科研思维,工作态度,0.95,团队意识,0.95,英文读写,0.95,爱岗敬业,0.95,offic办公软件,0.95,技能基础,0.8,,,,,,,,
中英文读写,pid,0.95,各种控制方法,0.95,电机控制,0.95,非线性控制理论,0.95,车辆运动学理论,0.95,动力学模型,0.95,现代控制理论,0.95,数字电路分析,0.95,汽车理论知识,0.8,文件撰写,0.8
逻辑思考力,offic办公软件,5.9,执行力,4.27,英语四级通,3.98,高度额责任心,3.91,python程序,3.5300000000000002,沟通表达理,3.3200000000000003,团队意识,2.86,抗压性,2.66,ppt操作,2.6100000000000003,化办公软件,2.5300000000000002
体系结构,系统安装,0.8,补丁应用,0.76,健康检查,0.7200000000000001,基础生物学中细胞,0.68,故障处理,0.6400000000000001,大数据平台生态组件,0.6000000000000001,k8s,0.6,redis,0.5599999999999999,化妆品基础研发流程,0.52,,
网格划分及静强度,流体仿真分析,0.95,ansa,0.95,电机微观振动机理,0.95,弹塑性力学,0.95,步进电机,0.95,计算机专业基础知识,0.95,abaqus,0.95,材料、力学,0.95,hyperworks,0.8,,
常用决策模型,基础算法知识,0.8,数据结构知识,0.8,动力学,0.8,学习算法,0.8,机器人,0.8,轨迹规划,0.8,车辆运动学理论,0.76,状态机,0.7200000000000001,常用轨迹规划算法,0.68,,
上推广方式,商务谈判,0.85,短视频,0.85,市场开拓,0.85,敏锐性,0.85,文案写作,0.85,内驱力,0.85,流量规则,0.8,投放方式,0.76,社交媒体,0.7200000000000001,,
mvc框架,软件开发过程,0.8,opensource软件开发,0.8,分布式系统设计,0.8,yii2经验,0.8,svn版本维护,0.8,数据结构,0.8,html5css,0.76,web业务开发,0.7200000000000001,网站开发过程,0.68,,
人际关系敏感度,offic办公软件,1.17,个人习惯,0.8,人力资源各模块工作内容,0.8,研究分析,0.8,正形象气质,0.76,销售目标感,0.76,人力资源,0.76,国家政策,0.7200000000000001,168cm,0.7200000000000001,信息搜集,0.7200000000000001
报表开发,python程序,1.0,net,1.0,java语言,1.0,听说读写,1.0,电力系统,1.0,系统分析,1.0,docker,1.0,mybati,1.0,tableau,1.0,,
优化思维,用户付费偏好,0.8,游戏玩法,0.8,音乐制作流程,0.8,rpg,0.8,数据分析报,0.8,游戏业务付费用户心理,0.8,程序设计语言,0.76,游戏中各类术语含义,0.7200000000000001,游戏系统,0.68,,
codev,光学分析器件,0.95,物理光学理论,0.95,光学系统设计,0.95,物理光学,0.95,tracepro,0.95,zemax,0.95,折返式望远镜,0.95,激光准直,0.95,相机成像原理,0.8,,
药物研究,发动机轮系,0.95,电控件,0.95,实验报告,0.95,英文书写,0.95,实验平台,0.95,药代动力,0.95,强电工程规范,0.95,发流程,0.95,匹配分析,0.8,,
工作独立性,抗压性,0.95,团队精神6,0.95,组织协调力,0.95,与人沟通,0.95,沟通表达理,0.95,人际交往,0.95,语言表达,0.95,执行力,0.95,职业操,0.8,,
英语水平,客户沟通,0.95,内容写作,0.95,全英文工作,0.95,英语听,0.95,市场意识,0.95,gnerswelcome,0.95,海外广告平台的特性,0.95,社交媒体,0.95,英语沟通表达流畅,0.8,业务分析设计,0.8
问题识,临床试验相关政策,0.8,项目推动意识,0.8,面向对象的思想,0.8,价值牵引意识,0.8,投入度,0.8,数据结构,0.8,敏感性,0.8,临床试验开展流程,0.76,全局意识,0.76,临床试验经验,0.7200000000000001
从用户,执行力,0.95,语言表达,0.95,效沟通技巧,0.95,普通话标准,0.95,高度额责任心,0.95,进取心,0.95,口齿清晰,0.95,服务心态,0.95,学习的意识,0.8,,
人际交往技能,管理流程,0.95,志存高远,0.95,人力资源行业,0.95,学上进心,0.95,客户业务,0.95,用户服务意识,0.95,高度额责任心,0.95,offic办公软件,0.95,结果导向思维,0.8,,
喜欢与人互动交流,处理人际关系,1.0,敢于挑战高薪,1.0,强烈成就动机,1.0,积极向上,1.0,性格坚韧,1.0,学习力,1.0,驱动力,1.0,战斗力,1.0,客户思,1.0,,
开单发货,综合管理,0.8,公司财务管理流程,0.76,商品进,0.75,财税软件,0.75,编写计算程序,0.75,系统软件,0.75,会计核算,0.7200000000000001,营销知识,0.68,营销管理知识,0.6400000000000001,,
地形分析,文字功底,0.9,数据库程序,0.9,系统分析的方法,0.9,职业操,0.9,国内规划领域的相关规范,0.9,规划设计素质,0.9,管理工具,0.9,组织沟通,0.8,划项目的方案规划设计,0.76,,
笔记本,电话营销技能,0.85,hbase,0.85,mybati,0.85,用户画像,0.85,信息网络安全的理念,0.85,学习欲望,0.85,数据挖掘,0.85,英语沟通,0.85,数据提取,0.85,计算机理论,0.85
深度神经网络模型,llvm,0.8,caffe,0.8,机器学习建模,0.8,行业研究,0.8,python程序,0.8,推荐算法,0.8,计算机视觉,0.76,yolo,0.7200000000000001,学习理论,0.68,,
linux命令,网络基本知识,0.85,维护知识,0.85,linux操作系统,0.85,文案组织,0.85,主流操作系统基本,0.85,型关系型数据库,0.85,医院管理,0.8,windows,0.76,html5css,0.7200000000000001,,
自动化开发经验,用户服务意识,0.8,模块化,0.8,基础车辆产品知识,0.8,语言感染力,0.8,组件化,0.8,物流管理业务流程,0.8,物流知识,0.76,软件测试基本规范,0.7200000000000001,结果导向思维,0.68,,
管理潜质,竞争意识,2.4000000000000004,爱管事,2.2800000000000002,思路清晰文笔,2.25,沟通表达理,2.25,陌生人打交道,2.12,进取心,1.92,谦虚谨慎,1.6,凝聚力,1.6,逻辑达人,0.8,市场营销意识,0.8
设计理论,汽车结构,0.8,高度额责任心,0.8,抗压性,0.8,创造性思维,0.8,团队精神6,0.8,敏捷的创意思维,0.8,连接池,0.76,工作原理,0.7200000000000001,装配建模,0.68,,
项目全生命周期管理,目标意识,0.95,改进工作流程,0.95,诚信务实,0.95,游戏运营有浓厚兴趣,0.95,项目管理理论,0.95,目标敏感,0.95,生物医药,0.95,资源拓展整合,0.95,持续的推动力,0.8,,
⼤学社团,分析领域论文,0.8,基本方法,0.76,算法实现,0.7200000000000001,学⽣会⼲部,0.7,代码功底,0.7,分析问题,0.7,三维绘图软件,0.68,分析手,0.6400000000000001,英文资料搜索,0.6000000000000001,,
公共英语等级证书,学习理解,0.8,人力资源管理思维,0.8,人际关系较好,0.8,文艺特长,0.8,英语四六级证书,0.8,核心胜任力,0.8,心理咨询,0.76,全国计算机等级证书,0.7200000000000001,党团干部,0.68,,
合同法,1年以上法,0.8,学习的意识,0.8,国家劳动法规,0.8,风险防范意识,0.8,爱岗敬业,0.8,法律研究,0.8,工作态度,0.76,公司法,0.7200000000000001,创新意识,0.68,,
平台产品在内容分发,客户之上意识,0.95,linux操作命令4,0.95,电商运营流程,0.95,linux常用命令,0.95,逻辑思考力,0.95,平台运作流程,0.95,操作系统,0.95,组织沟通,0.95,数理分析逻辑,0.8,,
数据分析技能,语言沟通,1.0,知识储备,1.0,推广活动流程,1.0,解决问题的意识,1.0,文字功底,1.0,创新意识,1.0,发现时下热点,1.0,英语四级通,1.0,谦虚谨慎,1.0,区块链行业,0.8
英文技术文档阅读,书写英文技术文献,0.8,设备性能,0.76,电子电路,0.75,半导体／光电子,0.75,数电模电,0.75,结构公差分析,0.75,perl一种,0.7200000000000001,python程序,0.68,驱动开发,0.6400000000000001,,
功能策划,图片处理,0.85,用户导向产品意识,0.85,审美情趣,0.85,竞品调研,0.85,医药信息收集,0.85,机器学习背景,0.85,想象力丰富而有趣,0.8,premiere,0.76,医药专业背景,0.7200000000000001,,
结构力,创新执行精神,0.95,英语证书,0.95,财务核算基本流程,0.95,思考分析,0.95,英语口语,0.95,个人学习力,0.95,沟通表达理,0.95,认同公司运作模式,0.95,产品投入时间,0.8,,
敏捷灵活,模电/数电基础,0.95,高度额责任心,0.95,与人沟通,0.95,文字功底,0.95,口头表达,0.95,语文功底,0.95,python程序,0.95,钟情思考,0.95,芯片设计流程,0.8,,
运筹学相关方法,业务问题,0.8,排名规则,0.76,游戏产品投放模式,0.7200000000000001,海外社交媒体,0.68,google,0.65,运筹学领域算法,0.65,数学建模,0.6400000000000001,运筹学,0.6000000000000001,动物基因组,0.5599999999999999,,
工艺要求,液晶背光结构,1.0,电子产品制造生产,1.0,建筑工程行业,1.0,沟通协调工作,1.0,outlook,1.0,电热产品项目,1.0,常用机械通用件选型,1.0,气力输送原理,1.0,沟通协作,1.0,,
展客户提供素材,股票投资,0.8,市场未来热点,0.76,语言沟通,0.7200000000000001,行业趋势,0.68,税务师,0.6400000000000001,业务规则,0.6000000000000001,产品运作方式,0.6,投资理财,0.5599999999999999,思维敏捷,0.52,,
自我驱动的意识,主流材料分析方法,0.8,热分析,0.76,半导体封装开发经验,0.7200000000000001,结构公差分析,0.68,高度额责任心,0.65,执行力,0.65,踏实诚信,0.6400000000000001,人际沟通协调,0.6000000000000001,积极主动,0.5599999999999999,,
服务器,负责公司电脑系统的维护,0.9,态度积极主动,0.9,计算机基础理论知识,0.9,汇报材料,0.9,设计文档,0.9,综合布线,0.9,三层网络协议,0.9,物联网产品开发经验,0.8,解决网络,0.76,,
linux操作命令4,python程序,6.1899999999999995,windows,4.29,数据结构,3.1500000000000004,数字电,2.45,html5css,2.08,算法基础,1.85,java语言,1.8,linux操作系统,1.7200000000000002,linux系统,1.7200000000000002,react技术栈,1.62
排版布局,yout设计,0.9,画图方法,0.9,linux操作命令4,0.9,集成电路设计流,0.9,快画图快,0.9,synopsys,0.9,calibre,0.9,电压降,0.8,常用设计工具,0.76,,
可服从外派,芯片行业生产流程,0.8,社团管理经验,0.8,机械基础,0.76,化学性质,0.76,班级管理,0.7200000000000001,半导体行业生产,0.7200000000000001,办公软件的运用,0.68,物料管理,0.68,逻辑思考力,0.65,沟通表达理,0.65
书写分析报告,英语阅读书写,0.8,电动车开发流程,0.76,化办公软件,0.75,专业基础,0.75,亲和؜力,0.75,执行力,0.75,服务流程,0.7200000000000001,工程项目实施过程,0.68,分析力,0.6400000000000001,,
品德端正,高度额责任心,1.5499999999999998,沟通表达理,1.2400000000000002,身心健康,1.2000000000000002,专业知识,0.85,批判性思维,0.85,从业资格考试,0.85,逻辑思考力,0.85,文字功底,0.85,细致有耐心,0.8,检测指标,0.8
积极进取,流程管理思维,0.8,化工原理,0.76,物理化学,0.7200000000000001,化学类基础知识,0.68,分析化学,0.6400000000000001,热爱工程设计,0.6000000000000001,谦虚谨慎,0.6,追求成效,0.5599999999999999,接受挑战,0.52,,
化妆品护肤品重度用户,化办公软件,1.0,抖音美妆博主的内容趋势,1.0,审美力,1.0,产品思维,1.0,理性思维,1.0,喜欢研究化妆品成分,1.0,极富团队合作精神,1.0,热衷种草,1.0,感染力,1.0,,
证券产品,分享交流,0.8,乐于团队协作,0.76,职业道德,0.7200000000000001,人际交往,0.7,高度提炼,0.7,上市公司证券实习经验,0.7,证券从业资,0.68,学习体系,0.6400000000000001,证券市场,0.6000000000000001,,
现代游戏引擎架构,计算机基础扎实,0.8,图形学库,0.76,互联网金融信贷流程,0.7200000000000001,资源开发的流程,0.7,热衷于算法,0.7,系统命令,0.7,数据结构,0.68,美学功底,0.6400000000000001,实际产品,0.6000000000000001,,
系统命令,计算机基础扎实,0.8,图形学库,0.76,互联网金融信贷流程,0.7200000000000001,数据结构,0.68,美学功底,0.6400000000000001,实际产品,0.6000000000000001,资源开发的流程,0.6,现代游戏引擎架构,0.5599999999999999,热衷于算法,0.52,,
设计院,现代分子生物技术,0.8,类似产品开发经验,0.76,检验工证书,0.7200000000000001,上罐准备工作,0.7,微生物基础知识,0.7,基本实验操作,0.7,分子生物学技能,0.68,高压灭菌锅操作证书,0.6400000000000001,发酵系统的检查,0.6000000000000001,,
集体荣誉感,处理人际关系,0.85,逻辑性,0.85,word文档,0.85,目标敏感,0.85,沟通表达理,0.85,沟通交互,0.85,组织协调力,0.8,沟通协作,0.76,offic办公软件,0.7200000000000001,,
电子商务雅虎,行业数据,0.85,敢打陌生电话,0.85,日本文化,0.85,日语沟通技巧,0.85,外语沟通,0.85,组织与执行,0.85,广告投放流程,0.8,查询资料,0.76,投放经验,0.7200000000000001,,
高温材料研究,组织工程,1.0,阅读英文文献自主性,1.0,微流控,1.0,胶粘剂,1.0,材料分析设备,1.0,生物材料相互作用研究,1.0,静电纺丝,1.0,油性聚氨酯体系产品,1.0,口头表达,1.0,,
基础车辆产品知识,软件测试基本规范,1.0,用户服务意识,1.0,模块化,1.0,结果导向思维,1.0,语言感染力,1.0,自动化开发经验,1.0,组件化,1.0,物流管理业务流程,1.0,物流知识,1.0,,
游戏行业充满激情,部分产品,0.8,棋牌行业环境,0.76,口头表达流,0.7200000000000001,深度体验过bingo,0.68,slots,0.6400000000000001,持久力爆表,0.6000000000000001,游戏的经济体系,0.6,总结游戏规则,0.5599999999999999,清晰规划设计架构,0.52,,
三年以上,沟通谈判,0.8,sas,0.8,全局统筹观,0.76,英语四级通,0.76,框架思维,0.7200000000000001,积极热情,0.7200000000000001,付款方式,0.7,法律专业知识,0.7,参与过项目采购,0.7,推广活动流程,0.68
运筹学领域算法,业务问题,0.8,排名规则,0.76,游戏产品投放模式,0.7200000000000001,海外社交媒体,0.68,数学建模,0.6400000000000001,运筹学,0.6000000000000001,google,0.6,动物基因组,0.5599999999999999,运筹学相关方法,0.52,,
食品基础研发,常规仪器,0.8,调味料食品原料行业1年,0.76,沟通组织力,0.7200000000000001,产品研发有热忱,0.7,乳饮料,0.7,影响力,0.7,采访经验,0.68,植物蛋白,0.6400000000000001,研究课题,0.6000000000000001,,
通信网络架构,offic办公软件,1.0,分析方法,1.0,工作热情,1.0,创新意思,1.0,固网产品,1.0,市场研究技术,1.0,信技术,1.0,效沟通技巧,1.0,维护知识,1.0,,
补丁应用,健康检查,0.95,大数据平台生态组件,0.95,化妆品基础研发流程,0.95,基础生物学中细胞,0.95,redis,0.95,k8s,0.95,体系结构,0.95,故障处理,0.95,系统安装,0.8,,
数据逻辑思维,数据仓库理论,0.8,搭建公式,0.76,spark,0.7200000000000001,分析背景,0.7,图形硬件架构,0.7,应用函数,0.7,数据架构,0.68,数组公式,0.6400000000000001,逻辑化,0.6000000000000001,,
文化差,文学作品,0.8,三观正,0.8,遇事冷静处理,0.76,文字功底,0.76,标准指引,0.7200000000000001,女性向游戏,0.7200000000000001,高度额责任心,0.7,团队协同,0.7,职业道德,0.7,手游产品深度体验,0.68
影响因素,结构件设计,0.8,炼油工艺装置,0.76,3d动画制作,0.7200000000000001,汽车零部件构造,0.68,模具制造工艺,0.6400000000000001,粉体高温烧结机理,0.6000000000000001,黄金首饰产品设计,0.6,熟悉铸造理论,0.5599999999999999,珠宝设计工艺,0.52,,
投放方式,商务谈判,0.95,短视频,0.95,市场开拓,0.95,敏锐性,0.95,社交媒体,0.95,文案写作,0.95,内驱力,0.95,上推广方式,0.95,流量规则,0.8,,
分子生物学技能,python程序,1.0,linux系统,1.0,perl一种,1.0,转换医学,1.0,药物分析,1.0,实验技能,1.0,程序实现,1.0,职业道德,1.0,阅读英文科技文献,1.0,linux操作命令4,1.0
创新的想法,竞品商品运营情况,0.95,珠宝行业发展趋势,0.95,文案处理,0.95,品牌服装企业运作流程,0.95,商品运营管理流程,0.95,计算机软件,0.95,数据分析方法,0.95,offic办公软件,0.95,中英文水平,0.8,,
物流仓储行业运筹优化算法,读英文科学文献,0.8,启发式的方式向客户介绍复杂的科学结果,0.76,科研背景,0.75,分子生物学技能,0.75,人力资源实务理论,0.75,用户服务意识,0.75,创新研究思路,0.7200000000000001,相关器材,0.68,解决客户的技术问题,0.6400000000000001,,
招商管理,合同签订,0.8,营业场所管理,0.76,初级账务管理,0.7200000000000001,服务意识足,0.7,原价管理,0.7,现金管理知识,0.7,物业现场管理,0.68,绿化卫生管理,0.6400000000000001,基建管理,0.6000000000000001,,
耐久试验场标准,临床试验相关政策,0.8,临床试验开展流程,0.76,临床试验经验,0.7200000000000001,车辆结构,0.68,整车耐久,0.6400000000000001,可靠性路试试验经验,0.6000000000000001,问题识,0.6,时间管理推,0.5599999999999999,notebook,0.52,,
国内外相关规范,offic办公软件,0.9,专业软件,0.9,inventor,0.9,液化工厂,0.9,船级社,0.9,英语书面,0.9,品德优良,0.9,管道应力分析工作流程,0.8,分析工况,0.76,,
spi,usb,2.75,keil,2.65,数字电,1.95,stm32,1.95,嵌入式软件,1.7999999999999998,文档编制习惯,1.0,电路板设计,1.0,数字滤波器,1.0,caffe,1.0,模拟电路,1.0
可靠性路试试验经验,临床试验相关政策,0.8,临床试验开展流程,0.76,问题识,0.75,notebook,0.75,时间管理推,0.75,耐久试验场标准,0.75,临床试验经验,0.7200000000000001,车辆结构,0.68,整车耐久,0.6400000000000001,,
相机成像原理,物理光学理论,1.0,光学系统设计,1.0,光学分析器件,1.0,tracepro,1.0,折返式望远镜,1.0,激光准直,1.0,codev,1.0,zemax,1.0,物理光学,1.0,,
三层网络协议,物联网产品开发经验,0.8,解决网络,0.76,服务器,0.7200000000000001,态度积极主动,0.68,负责公司电脑系统的维护,0.6400000000000001,计算机基础理论知识,0.6000000000000001,综合布线,0.5599999999999999,汇报材料,0.52,设计文档,0.48,,
产品设计验证,用户体验设计,0.85,习惯分析,0.85,产品交互,0.85,产品思维,0.85,文档撰写,0.85,把控力,0.85,数字化,0.8,数据挖掘,0.76,产品设计敏感,0.7200000000000001,,
税务法律法规,专业知识,0.8,沉稳独立,0.76,财务政策,0.7200000000000001,风险分析,0.68,基本会计准则,0.65,沟通表达理,0.65,编写计算程序,0.6400000000000001,内控合规要求,0.6000000000000001,宏观思维,0.5599999999999999,,
西班牙语,西班牙文阅读,0.8,客户达成合作意向,0.8,社交媒体运营经验,0.76,东西方文化,0.76,市场营销行业实习经验,0.7200000000000001,文化流行趋势,0.7200000000000001,workingproficiency,0.68,国际化工作的意,0.68,销售理念,0.65,英文沟通,0.65
web安全,数理统计分析,0.85,机器学习,0.85,tornado,0.85,开发语言,0.85,理解算法,0.85,数据结构,0.85,python程序,0.8,数学统计知识,0.76,网络协议,0.7200000000000001,,
客户思,外部客户,0.8,喜欢与人互动交流,0.8,积极向上,0.76,洞察客户需求,0.76,数据清洗,0.7200000000000001,敢于挑战高薪,0.7200000000000001,学习力,0.68,敏感性,0.68,临床试验数据情况,0.65,云计算,0.65
自信开朗,分析理,0.8,强烈成功欲望,0.76,半年以上车间实习经验,0.7200000000000001,社会实践经历,0.68,党员+,0.65,管理技能,0.65,目标敏感,0.6400000000000001,财务软件,0.6000000000000001,外贸saas,0.5599999999999999,,
热点案,小红书,0.8,近期的热点话题,0.8,阅读量大,0.8,新媒体,0.8,公众号运营,0.8,广泛传播效果,0.8,结合公司实际情况,0.76,电商运营模式,0.7200000000000001,文案撰写,0.68,,
规范化的命名,python程序,0.85,层级整理,0.85,审美力,0.85,基础动画运动规律2,0.85,生物药结构,0.85,模型结构,0.85,mel,0.8,python协助绑定,0.76,提高产品点击率,0.7200000000000001,,
游戏玩法,rpg,0.8,程序设计语言,0.76,音乐制作流程,0.75,数据分析报,0.75,游戏业务付费用户心理,0.75,用户付费偏好,0.75,游戏中各类术语含义,0.7200000000000001,游戏系统,0.68,优化思维,0.6400000000000001,,
主席经验,工作积极主动,0.95,脚踏实地,0.95,领导力,0.95,职业目标,0.95,事业进取心,0.95,社会实践经历,0.95,清晰的职业规划,0.95,学生会干部,0.95,管理方向发展,0.8,,
行业研究,研究分析,0.8,推荐算法,0.8,统计分析原理,0.8,销售目标感,0.76,计算机视觉,0.76,损失模型,0.76,信息搜集,0.7200000000000001,多级轴流压气机气动设计体系,0.7200000000000001,yolo,0.7200000000000001,学习理论,0.68
芯片行业生产流程,数据统计分析,1.0,机械基础,1.0,组装经验,1.0,细胞培养操作经验,1.0,无人机,1.0,英语沟通,1.0,物料管理,1.0,可服从外派,1.0,半导体行业生产,1.0,,
svm,机器学习算法,0.95,传统算法,0.95,数据结构,0.95,组件化,0.95,rning算法,0.95,spark,0.95,机器学习模型,0.95,服务化相关软件架构,0.95,逻辑回归,0.85,逻辑化,0.85
计算机办公软件,windows,1.0,html5css,1.0,linux操作命令4,1.0,redis,1.0,化办公软件,1.0,计算机软件,1.0,解决问题的意识,1.0,进取心,1.0,主流操作系统基本,1.0,,
