0,1,2,3,4,5,6,7,8,9,10
数据产品,用户洞察,数据变化敏感度,产品设计软件,用户画像,产品设计工具,数据思维,数据挖掘,文档撰写,逻辑思考力,主动沟通意识
海外管培生,,,,,,,,,,
海外融资,,,,,,,,,,
成本分析,,,,,,,,,,
焊接工程师,材料科学,excel函,catia,听说读写,正直诚信,ppt操作,创造力,社团工作经历,学上进心,抗压性
电镀工,14001,45001,27001,知识产权各体系标准,excel函,ppt操作,沟通表达理,逻辑思考力,,
技术质量管理,word文档,excel,ppt操作,文字功底,极富团队合作精神,组织协调力,,,,
版图设计,排版布局,电压降,calibre,常用设计工具,集成电路设计流,画图方法,yout设计,快画图快,物理验证,工艺流程
生物信息工程师,分子生物学技能,python程序,生物网站,perl一种,linux系统,阅读生物专业文献,阅读英文文档,git操作,docker,samtools
海外市场,海外广告平台的特性,社交媒体,内容写作,英语沟通表达流畅,英语水平,gnerswelcome,全英文工作,人际主动性,数据收集分析,市场意识
电商顾问,,,,,,,,,,
销售专员,礼貌待客,普通话标准,亲和؜力,服务意识足,团结合作意识,化办公软件,反应速度快,网络通,市场开拓,高通量测序
广告运营,广告投放流程,投放经验,工具软件,英语6级,逻辑达人,沟通协作,接受新事物的意识,数据变化敏感度,逻辑思考力,语言表达
招商经理,成就他人,社交感,人际交往,沟通谈判,服务意识足,高度额责任心,与人沟通,团队精神6,抗压性,处理管理
电商管培生,平台运营规则,视觉把控力,营销活动打法,从数据中发现问题,增量获取方式,煽动性,设计软件,java语言,excel,平面设计技
后期制作,调色软件,合成软件,color,premiere,逻辑性,影视公司影视包装,,,,
插画师,sai,各设计软件,手绘板绘制,设计基础,花型设计,造型功底,美术功底,美术基础,平面设计用软件,短视频拍摄
策划助理,excel函,文案撰写,思路开阔,地产项目分析,房地产运作流程,大型公共场,word文档,社会化媒体运作,媒介关系,版权法
市场专员,excel函,活动物料的工艺,护肤品牌,各类策划方案提案的撰写,内容审核,撰写新闻稿,illustrator,洞察市场,策划方案,发展前景
辅导员,表达沟通,,,,,,,,,
给排水工程师,常规办公软件,创新意识,化办公软件,团队协作意识,语言表达,书面表达,责任感6,,,
市场拓展管培生,,,,,,,,,,
海外清关,,,,,,,,,,
供应链管培生,互联网平台,富系统功能,智能制造行业,excel函,生产部,社会实践经历,思维敏捷,亲和؜力,offic办公软件,领导力
经理助理,应变技巧,工作方向发展,存储产品的采销流程,编写应用文档,市场眼光,技术文档,excel函,知识背景,人际交往,项目开发
管理咨询顾问,逻辑思考力,理解力,执行力,化办公软件,,,,,,
西班牙语翻译,笔译水平优秀,思维灵活,化办公软件,极富团队合作精神,承压力,,,,,
售前咨询管培生,人际交往,数学基础,逻辑思考力,学上进心,自驱动力,,,,,
安检员,170cm,身材好,160cm,女160cm,三观正,无慢性疾病,语言表达,高度额责任心,,
FPGA开发,xilinx,资源评估,数字电,总线规范,数字通信协议,c++,发流程,异步接口处理,算法开发,通信系统
Unity3D工程师,数据结构的设计,责任感6,极富团队合作精神,,,,,,,
仿真工程师,catia,材料特性分析,基础理论知识,offic办公软件,c++语言,流体仿真分析,电化学原理,信号完整性理论基础,仿真参数测量方法,分析流程
电气测试工程师,测试工作经验,低压电器零部件测试基本理论,电气电路,60947,工控机集成系统,电气设计图纸,60898电器标准,测试工具,工控机混,测试流程
项目工程师,excel函,outlook,液晶背光结构,沟通协调工作,沟通协作,计算机办公软件,志于在检测认证行业发展,自主性,信赖性,产品背光
电商产品,思维灵活,设计产品功能,交互体验,需求文档,逻辑思考力,设计文档,产品流程,excel,,
储备运营,思维品质,积极向上,综合素养,善创变,能死磕,服务意识足,利他之心,,,
成本核算,书面沟通,英语四级通,内外部沟通,计算机操作技能,,,,,,
物控管理,抗压性,逻辑思考力,解决问题的意识,,,,,,,
机电工程师,机构设计,联合单片机的电路,形位公差绘图,c++,安全意识,组装测试工具,英语四级通,python程序,施工工艺4,理论知识
电工,装配工具,执行力,专业基础,解决问题的意识,问题解决,问题分析,英语四级通,工作主动性,团队精神6,书面表达
客户服务工程师,跟单流程,excel函,听说读写,英语四级通,极富团队合作精神,爱岗敬业,,,,
生物医药工程师,高度额责任心,表达沟通,,,,,,,,
临床研究员,文献检索工作,中英文文献检索,,,,,,,,
技术支持,java语言,linux操作系统,python程序,tcp,德语听说读写,用户服务意识,电话交换机,雷达原理,服务意识足,路由器的配置
广告设计,画面处理,剪辑工作,高雅的审美观,后期制作软件,短视频玩法热点,premiere,c4d,手绘板绘制,图片素材,视频艺
招商管理,时尚品味,excel函,英语四级通,沟通表达理,逻辑思考力,ppt操作,,,,
城市经理,分享个人观点,自驱力,,,,,,,,
陈列设计,服装搭配技巧,审美力,,,,,,,,
会展策划,执行力,抗压性,,,,,,,,
日语教师,表达沟通,,,,,,,,,
篮球/羽毛球教练,亲和؜力,语言沟通,反映敏捷,用户服务意识,高度额责任心,学上进心,,,,
新媒体运营,文字功底,文案写作,文案功底,小红书,视频混剪,文案撰写,移动互联网行业,食品饮料,视频的制作流程,新媒体运营工作经验
房地产投资拓展,工作意识,普通话标准,洞察力,团队精神6,抗压性,,,,,
投资管理管培生,人际交往,,,,,,,,,
员工关系,国家劳动法规,人力资源,excel函,国家人力资源相关政策,法律法,人力资源工作,亲和؜力,沟通表达技巧,化办公软件,offic办公软件
合规咨询顾问,通过司法考试,董秘资格,专业知识,职业素养,持续学习,语言表达,逻辑思考力,高度额责任心,执行力,
研发项目管理专员,执行力,组织协调力,,,,,,,,
项目管培生,工具软件,学上进心,沟通表达理,极富团队合作精神,执行力,,,,,
酒店管理,,,,,,,,,,
票务员,170cm,160cm,身材好,三观正,语言表达,,,,,
政策管理,,,,,,,,,,
ETL开发,db2,数据变化敏感度,基本功扎实,自动化测,spark,数据库开发,storm,linux操作命令4,数据建模,flink
NLP算法工程师,python程序,c++,nlp,java语言,自然语言生成,bert,算法基础,命名实体识,机器学习模型,知识图谱
感知算法工程师,c++,图像处理,图像处理算法,python程序,物体检测,分类识,caffe,计算机视觉基础知识,英文资料,时频域变换
电气开发工程师,逻辑思考力,效沟通技巧,极富团队合作精神,,,,,,,
硬件产品,团队工作,智能硬件产品的软硬协作流程,正形象气质,自觉性高,事业心,进取心,积极主动的思考,数据变化敏感度,积极性,撰写技术文档
店面运营,调动资源实现目标,语言表达,服务意识足,强烈成功欲望,抗压性,高度额责任心,,,,
金融风控,业务流程,风险分析,,,,,,,,
成本造价,开拓进取,创新精神,事业心,抗压性,团队意识,责任感6,与人沟通,,,
业务分析师,业务分析,文案功底,axcure,ppt操作,团队意识,高度额责任心,,,,
战略与经营分析管培生,宏观分析,价值提炼,excel函,财务分析,财务建模,财务规划与分析,python程序,ppt操作,逻辑思考力,抗压性
生产技术工程师,法律专业知识,极富团队合作精神,,,,,,,,
机械工程师,机原理,机械设计,装配图,机械传动特点,机械机构,探索欲望,金属件,注塑开模件,设计软件,3d动画制作
品控官,,,,,,,,,,
客户质量工程师,,,,,,,,,,
实验研发工程师,高通量测序,查阅文献,快速解读文献,生物学相关软件,,,,,,
妇产科医生,,,,,,,,,,
软件销售,计算机基础知识,亲和؜力,目标敏感,独立处理复杂问题,人际交往,市场分析,服务意识足,软硬件产品,网络基本概念,工作责任心
客服管理,专业等级证书,以上证书,主动服务意识,正直诚信,懂得感恩,抗压性,极富团队合作精神,,,
渠道管理,excel函,符合中欧基金,有追求,商业意识,细致有耐心,服务意识足,沟通表达理,意愿度,与人沟通,换位思考
剪辑师,拍摄器材,镜头感觉,后期制作软件,premiere,视频混剪,电脑版剪映,自媒体,简单的视频,沟通水平,视频类软件
媒介投放,交媒体重度,关注潮流圈,脑洞大开,文案撰写,文字撰写功底,创意策划,执行力,高度额责任心,结合热点事件,
科普编辑,幽默风趣,沟通协作意识,食品科学知识,逻辑性,理解力,工作负责,,,,
项目策划执行,,,,,,,,,,
影视管培生,文案写作,发散性思维,视频制作,,,,,,,
少儿英语老师,爱孩子,高度额责任心,,,,,,,,
项目经理,英文沟通,软件开发基础,java语言,中文普通话,excel函,致力向项目管理,多线程处理,证券从业资,区块链行业,产品研发
安全员,170cm,160cm,身材好,三观正,安全生产管理技术,安全技术管理规范,安全办公软件技能,173cm,163cm,语言沟通
货运代理,挖掘客户的潜力,开发新客户,英文打字,勤奋努力,offic办公软件,高度额责任心,,,,
组织发展,常用面试方法,组织洞察力,业务敏感度,创新意识,沟通协作,excel函,逻辑思考力,沟通表达理,文字功底,抗压性
前台接待,165cm,160cm,三观正,正形象气质,普通话标准,服务意识足,,,,
法律事务,工作责任心,极富团队合作精神,语言表达,书写流,,,,,,
本地化翻译,商务日语,日语文学功底,体验公司的游戏产品,游戏本地化翻译,影视字幕翻译,二次元产品,文化习惯,第二外语,宗教信仰,历史风俗
业务项目规划管理岗,数据库程序,文字功底,化办公软件,极富团队合作精神,抗压性,高度额责任心,沟通交互,组织协调力,,
联合创始人,方案撰写,书面表达,,,,,,,,
行政管培生,企业行政相关政策,正形象气质,个人习惯,企业文化建设,宏观思维,文书写作,沟通表达流畅,人际沟通协调,化办公软件,亲和؜力
店长,亲和؜力,高度额责任心,高度认同公司企业文化,勇于挑战固,礼貌待客,高敏感度,品行良好,服务意识足,团结合作意识,区域楼盘情况
美容师,高度额责任心,专业用心舒适效果,,,,,,,,
ARM开发,积极主动,逻辑思考力,团队意识,高度额责任心,,,,,,
系统开发,c++,java语言,python程序,android,mybati,rviz,ros,编写应用文档,springcloud,多线程处理
高性能计算工程师,数据结构,c++,cuda,学习算法优化,高性能分布式存储,c1证,intrinsic,llvm,编译器,计算机体系结构
后端测试工程师,综合时序分析,排版布局,流程管理软件,软件工程,乐于团队工作,软硬件测试流程,理论基础知识,qtp,linux命令,性能测试工具
抖音运营,审美力,将新鲜元素,互联网产品,亲和؜力,沟综合素质,执行力,英语四级通,沟通表达理,抗压性,capcut
量化风控,风险控制思维,量化分析基础,符合中欧基金,有追求,程序开发功底,品德优良,研究分析,职业道德,进取心,解决问题的意识
税务专员,税务基本知识,实体行业业务流程,在校综合表现,态度端正,发票合规管理,化办公软件,财会知识,职业操,抗压性,复杂问题的处理
证券分析师,学上进心,服务意识足,团队精神6,软件功能,,,,,,
业务定向生,,,,,,,,,,
储备市场部负责人,市场开拓,接受挑战,,,,,,,,
夹具工程师,,,,,,,,,,
管道设计工程师,英语书面,offic办公软件,,,,,,,,
声学,数字滤波器,测试设备,分析问题,,,,,,,
商务专员,销售思维,商务谈判,不怕困难,excel函,制药行业国内外临床试验,出发思考,医药信息收集,沟通交互,进销存系统,逻辑性
客服助理,生活习惯,口头+,60m,正能量,高度额责任心,抗压性,word文档,电脑操作即,ppt操作,普通话标准
销售储备干部,发挥个人优点,党员+,直面困难,纪律性,积极主动,抗压性,电脑操作即,敢于突破,普通话标准,沟通表达理
经纪人,喜欢与人互动交流,积极向上,学习力,亲和؜力,敢于挑战高薪,判断力,强烈成就动机,职业操,语言表达,性格坚韧
动画设计,美术功底,基础动画运动规律2,动画制作,三维动画制作,自然的动画效果,动画基础,文字转化,spine,各类项目脚本,表演节奏
新媒体编辑,各类新媒体,网络社会化媒体传播形式,专题报道,思想成熟,专题策划,宏观思维,公众号运营,编辑整理,代表性作,文字功底
营销策划,发散性思维,文案写作,营销策划,阅片量丰富,活动组织,新媒体行业,谦虚勤奋,精力旺盛,文案撰写,自媒体
学习管理师,亲和؜力,普通话标准,服务意识足,沟通交互,责任感6,理解力,excel函,工作条理性,抗压性,执行力
开发报建,,,,,,,,,,
工程造价,语言协调沟通,专业基础,安装预结算,化办公软件,职业操,文字编写,英语四级通,计算机办公软件,高度额责任心,大局意识
业务品质管培生,思考学习,同理心,头脑灵活,抗压性,内驱力,,,,,
增员助理,团队协助精神,职业道德,高度额责任心,极富团队合作精神,,,,,,
交易咨询顾问,化办公软件,积极主动,人际交往,极富团队合作精神,自信乐观,,,,,
翻译教研,,,,,,,,,,
项目实施工程师,统计编写,存储过程,数学基础,理解力,人际交往,沟通交互,创新精神,钻研精神,责任感6,工作习惯
客运员,170cm,160cm,身材好,三观正,女160cm,显伤疤,无慢性疾病,语言表达,品德优良,
PCB工程师,模拟电路,数字电路基础知识,电子产品,,,,,,,
客户端开发工程师,c++,数据结构,lua,java语言,python程序,perl一种,计算机基础知识,脚本语言,基本算法,swift
OPC算法工程师,计算机几何学,数字图像处理,c++,python程序,效沟通技巧,组织经验,,,,
机器人算法工程师,c++,ros,数据结构,java语言,机器人学基础知识,加密算法,python程序,数学基础,全局路径规划算法,李群李代数
软件产品,用户研究常见方法,性测试-启发式评估-眼动测试,机器视觉的原理,场景分析,流程3,计算机操作,组织沟通,服从公司安排,逻辑思考力,执行力
供应链运营工程师,数据分析技能,vba,自驱力,人际交往,团队精神6,,,,,
互联网运营管培生,逻辑思考力,,,,,,,,,
资产专员,高度认同公司企业文化,excel函,团队意识,word文档,高度额责任心,ppt操作,,,,
金融科技定向生,敬业度,责任感6,抗压性,,,,,,,
供应商质量管理,java语言,质量意识,c++,机械设计的原理,公差尺寸,品质工具,写作方法,沟通协作,积极热情,python程序
精益工程师,化办公软件,,,,,,,,,
汽车维修,团队精神6,高度额责任心,,,,,,,,
认证工程师,产品出口,offic办公软件,英文四级,,,,,,,
电控工程师,电气硬件,自动化控制设备的设计,沟通协作,软件开发,控制算法,电控规范,沟通表达流畅,转子位置观测,矢量控制,气动知识
细胞培养技术员,细胞培养操作经验,基本细胞实验技能,控制程序,胞复苏,免疫学,微生物检测,流式细胞仪,操作意识,文献检索,化办公软件
市场策划,喜欢思考,日本动漫,勇于挑战固,当下潮流,创造力,ppt操作,解决问题的意识,word文档,excel,分析工具
运营客服,办公操作,电脑操作即,责任感6,亲和؜力,团队意识,,,,,
电话销售,学习卡推广,普通话标准,挖掘客户的潜力,销售渠道,热爱公司的花花草草,知识学习,敬业诚实,互联网络,表达清晰,网络交流工具
摄影/摄像,彩妆产品,,,,,,,,,
游戏策划,部分产品,口头表达流,运营分析,持久力爆表,游戏行业充满激情,产品数据敏感,易交流,善于自我管理,用户群体需求,1年以上工作经验
数学教师,高度额责任心,抗压性,,,,,,,,
unity,资源管理,游戏特效,粒子系统,unity,性能分析,代码结构,数据结构,编写逻辑脚本,操作系统,材质编辑器
书法教师,面功底,语言表达,,,,,,,,
市场推广,语言文字,市场敏锐度,勇于挑战固,普通话标准,品行良好,乐观向上,爱心耐心,目标敏感,三观正,态度积极
租赁顾问,服务意识足,执行力,语言表达,进取心,抗压性,,,,,
建筑工程师,操作office,品德端正,信用度,组织协调力,语言表达,自律性,责任感6,极富团队合作精神,积极向上,
客服顾问,英语表达,普通话标准,用户服务意识,洞察力,口头表达,逻辑思考力,高度额责任心,抗压性,主动性,极富团队合作精神
专利工程师,韩语精通,热爱查阅文献,文献检索,阅读英文专利,机械相关专业基础,英语四级通,语言组织,英语书面,英语6级,中英文阅读
咨询顾问管培生,承压力,高度额责任心,挑战欲,,,,,,,
空乘,,,,,,,,,,
射频工程师,模拟电路,数字电,电路分析,射频电路,频谱仪,微波射频原理,设计仿真软件,信号处理,通信原理,理论分析
PC工程师,电气控制柜设计,电气接线,持续学习,逻辑思考力,极富团队合作精神,高度额责任心,,,,
机器学习算法工程师,数据结构,加密算法,c++,经典的算法原理,python程序,模型开发,svm,java语言,机器学习,机器学习框架sklearn
官网运营,以上外语语种,分析思维,,,,,,,,
技术开发管培生,android,基本操作,java语言,数据变化敏感度,逻辑思考力,,,,,
会计,excel函,财务软件,职业操,学习体系,资产管理,财务收支计划,愿意在事务所行业继续学习,国家会计法规,高度提炼,会计法规
定量分析师,金融随机分析,金融理论,数理功底,商务管理知识,python程序,c++,学习理解,,,
售前解决方案管培生,密码学,数据库开发,敏感性,机器学习,云计算,文案撰写,语言表达,逻辑思考力,团队精神6,excel函
质量管理专员,原材料的检验标准,检验规范,芯片测试筛选规范,沟通表达理,质量记录,,,,,
模具工程师,3d动画制作,办公室自动化,工作效率,人际交往,协调性,高度额责任心,抗压性,团队意识,极富团队合作精神,
助理工程师,excel函,博图软件,catia,通用设计软件,动作原理,非标自动化设备常用标准件选型,物料拉动的原理,机械结构,word文档,数据维护
审核员,标准指引,品牌管理,法律法规,风险意识,化办公软件,offic办公软件,,,,
电路工程师,电气原理图设计,基本开关电源设计,计算机通信接口技术,机原理,原理图,emacs编辑器,硬件外设的设计,电路板设计,光电理论基础,vim
护工,网络安全攻,信息安全,漏洞扫描,自动化基础知识,英语沟通,强电工程规范,电系统工程原理,tcp,弱电专业知识,专业规范
市场调研,eg:excel,excel函,文字编辑功底,全面性,处理客户关系,新闻敏感度,抽样方法,影响范围,反馈率,电脑操作即
电话客服,普通话标准,产品特性,跟进进程,提高客户满意度,电话沟通技巧,网络知识基础,offic办公软件,电脑打字,亲和؜力,反映敏捷
销售顾问,普通话标准,亲和؜力,销售意识,品行良好,三观正,口齿清晰,沟通责任心,国内期货,自评底层,拜访客户的前期预判
视频编辑,摄像技术,数码相机应用技巧,后期制作技术基础,合成软件,premiere,视频制作软件,资讯报道,视频剪辑工具,表述逻辑,泛娱乐
文案编辑,商务英语,阅读量大,结合公司实际情况,电商运营模式,文案撰写,热点案,广泛传播效果,小红书,近期的热点话题,新媒体
品牌策划,热衷种草,喜欢研究化妆品成分,外语水平,交媒体流行趋势,文案功底,文案撰写,ppt操作,策略工具,洞察力,策略思考
体育教师,,,,,,,,,,
课程研发,文本写作,将复杂的事物梳理,口头表达,高度额责任心,普通话标准,抗压性,自驱动力,创新意识,逻辑思考力,极富团队合作精神
运营管培生,专业等级证书,快速适应,社会实践经历,分析玩家游戏心理,团队协作意识,思维敏捷,团队共事,营销管理理念,新想法思路,市场主流游戏产品
人力专员,积极阳光,团队交付意识,逻辑清晰,职业操,专业知识,办公应用软件,目标敏感,进取心,推动性,word文档
项目助理,excel函,互动沟通,digital,实验报告,执行力,social,java语言,mkt,沟通类,细胞培养操作经验
总助管培生,书面表达,敢于打破常规,,,,,,,,
服务专员,电力系统运行规程,安全规范,英语听说读写ok,从用户,机电安装知识,普通话标准,口齿清晰,生活工作习惯,自律性,化办公软件
收银,高度额责任心,职业操,,,,,,,,
android开发,android开发语言,数据结构,算法分析,db2,,,,,,
计算机视觉CV算法工程师,c++,java语言,图像算法技术,,,,,,,
用户研究,主动解决问题,用户研究常见方法,excel函,基础研究分析方法,人群和市场的观察,敏锐的数据洞察,体验观察,研究流程,社科研究方法论,极强求知欲望
国内电商运营,策划执行,领导力,服务意识足,与人沟通,极富团队合作精神,高度额责任心,抗压性,,,
投资助理,股票投资,市场未来热点,行业趋势,思维敏捷,自控力,投资理财,自制力,国内外资本市场,口头表达,产品运作方式
财务专员,财务管理工作,财务软件,公司会计核算,财务会计知识,处理流程性事务,金蝶财务软件,财务工作,excel函,风险防范意识,各项会计政策
投资分析师,财务分析基础,意愿深耕投资事业,wind,生物医药,书面文字表达,行业研究,金融素养基本功,分析研究,信息搜集,数据处理功底
质量管理储备,excel各项功能,解决问题的意识,,,,,,,,
机修工,各类机电设备工作原理,化办公软件,基础理论知识,电气自动化,机械设备,,,,,
电气工程师,电子电气元件,电气设计规范,电路知识,电气绘图软件,常规办公软件,国内外主流变频器,电气系统供电规,低压配电,二次元产品,伺服驱动器
投资经理,证券从业资,行业研究,研究分析,正直善良,投资知识,印刷品设计需求,股权投资运作流程,勤奋踏实,可转债,平面设计技
护士,护士执业资格证,采血心电图,职业道德素质,亲和؜力,普通话标准,温暖大方,工作负责,化办公软件,高度额责任心,学上进心
市场顾问,口齿清晰,性格坚韧,普通话标准,承压力,事业心,高度额责任心,,,,
网络客服,淘宝规则,平台后台客服操作流程,退换流程,平台交易流程,给客户留,头脑清晰,洞察客户需求,电脑打字,亲和؜力,服务意识足
网络销售,市场观察力,捕捉客户需求点,沟通好,渠道运作,互联网络,网络通,四川旅游目,营销管理,沟通表达理,引导客户购买产品
工业设计,平面软件,概念的表达,设计分析,视觉表达,设计相关软件,敢于打破常规,竞品调研,人机交互设计,illustrator,手绘板绘制
网站编辑,利用搜索引擎检索,组织信息,文字编辑,准确发掘,逻辑思考力,高度额责任心,乐于接受挑战,数据变化敏感度,极富团队合作精神,
托管老师,数学知识,普通话标准,沟通表达理,高度额责任心,学科教师资格证,,,,,
研究员助理,宏观微观,资讯终端,wind,python程序,主流公链的生态4,英文沟通,中英文阅读,数学建模,java语言,sas
楼层经理,,,,,,,,,,
建筑设计师,建筑设计基本的软件,建筑设计模型的辅助研究,设计思维,revit,设计功底,竞争意识,谈判技巧,创新意识,沟综合素质,解决问题的意识
文员,excel函,化办公软件,沟通反馈意识,办公室行政工作流程,offic办公软件,正形象气质,文字编辑,公文写作格式,人际洞察力,奇装异服
企业管理咨询,数据资料收集,逻辑思考力,极富团队合作精神,,,,,,,
客户主任,excel函,文案撰写,业务流程,发散性思维,思维灵活,文字功底,word文档,ppt操作,态度端正,思维逻辑性
乘务员,170cm,160cm,身材好,三观正,60cm,显伤疤,女160cm,沟综合素质,无慢性疾病,语言表达
设备维修,职业操,职业道德,化办公软件,高度额责任心,自动化测,团队精神6,,,,
服装搭配助理,亲和؜力,执行力,审美力,高度额责任心,穿搭风格,,,,,
PHP,数据结构,php,java语言,redis,git操作,mysql数据库,分布式系统设计,软件开发过程,代码习惯,web业务开发
控制算法工程师,c++,车辆运动学理论,pid,现代控制理论,mpc,工程化方法,控制理论,linux开发,数学基础,数字信号处理
海外游戏运营,卡牌类手游,afk,网络游戏,英文读写,协作沟通,游戏运营有浓厚兴趣,高敏感度,组织计划性,责任感6,极富团队合作精神
企划管培生,,,,,,,,,,
增值服务,企图心,头脑灵活,整合内外部资源,,,,,,,
审计专员,沉稳独立,风险分析,宏观思维,沟通表达理,offic办公软件,抗压性,与人沟通,英文书面,思维敏捷,快速适应
行业分析师,英文期刊论文,研究分析,独立分析解决问题,执行力,职业目标,极富团队合作精神,工作主动性,,,
质量管理管培生,组织管理,服务意识足,领导力,极富团队合作精神,,,,,,
热设计工程师,结构设计的工具,学上进心,团队精神6,抗压性,,,,,,
空调工,沟通表达理,服务意识足,高度额责任心,,,,,,,
体系工程师,汽车构造,excel函,思维灵活,化办公软件,语言表达,汽车原理,word文档,ppt操作,抗压性,承压力
网络/信息安全,tcp,wifi,路由器的配置,电话交换机,网络设备,表达沟通,爱岗敬业,极富团队合作精神,高度额责任心,
电商客服,基础护肤化妆知识,电商平台规则,天猫平台规则,热衷网购,电商零售业,服装行业电子商务运营模式,网络平台,服务意识足,希伯来语,客户沟通技巧
客户经理,敬业务实,证券从业资,强烈成功欲望,勤奋努力,亲和؜力,excel函,进取心,游戏运营有浓厚兴趣,用户服务意识,抗压性
会展活动执行,课程学习成绩,抗压性,化办公软件,获取外语等级证书,,,,,,
内容编辑,行业发展,教学原理,课程设计,制作软件,文字功底,逻辑思考力,服务精神,抗压性,ppt操作,乐观积极
舞蹈老师,,,,,,,,,,
学术顾问,工作负责,服务意识足,高度额责任心,,,,,,,
工程储备,高度额责任心,团队精神6,沟通表达理,,,,,,,
物流管理,excel函,事业心,进取心,外语听说读写,医药物流,物流专业3,逻辑思考力,物流的基础流程,高度额责任心,主动沟通意识
python,python程序,数据结构,c++,java语言,网络协议,算法基础,机器学习,开发语言,web开发相关技术,数学统计知识
框架开发工程师,数据结构,加密算法,复杂的算法,c++,caffe,,,,,
互联网运营,基金公司营销策划,热爱市场开发,会计师,陌生人打交道,金融产品,电子商务业务销售技巧,进取心,思维敏捷,逻辑思考力,高度额责任心
战略分析岗,高度额责任心,,,,,,,,,
审计管理,社会实践经验,沟综合素质,财务知识,自驱力,风控管理,文字功底,解决问题的意识,逻辑思考力,创新意思,自驱动力
信用分析师,信用政策,特殊券种交易,财务分析,工作节奏,行业用语,抗压性,高度额责任心,,,
金融实习生,语言沟通,独立分析,极富团队合作精神,解决问题的意识,,,,,,
产业研究,医药信息收集,公司投融资,创新药,公司研究框架,外语听说读写,听说读写,商业逻辑思维,文字功底,主动沟通意识,服务意识足
质检员,问题解决,高度额责任心,,,,,,,,
在线客服,普通话标准,服务意识足,亲和؜力,高度额责任心,沟通表达理,抗压性,极富团队合作精神,挖掘客户需求,,
销售工程师,自驱力极,市场分析,英语写作,图像处理,问题分析,抗压性,微生物,人际交往,服务意识足,沟通表达理
AE客户执行,广告营销,审美水准,诚实靠谱,服务意识足,细致耐心,offic办公软件,工作态度,高度额责任心,极富团队合作精神,
英文学术期刊助理编辑,英语四级通,offic办公软件,营养学,生物工程,理论物理,遗传学知识,材料科学,,,
项目导师,电子系统设计,传感器系统设计,嵌入式系统设计,非51单片机系统开发语言,电子模块,英语书面,python程序,机器学习,creo,多传感器标
游泳教练,救生员证书,陆地救生技术,人际交往,领导力,亲和؜力,责任感6,职业素养,,,
科研顾问,自觉性高,逻辑思考力,服务意识足,高度额责任心,抗压性,,,,,
客户服务管培生,服务意识足,分析问题,沟通表达理,解决问题的意识,高度额责任心,团队精神6,,,,
物流工程师,逻辑思考力,抗压性,,,,,,,,
行政管理,个人习惯,正形象气质,沟通表达流畅,文字编写,制造型企业行政管理知识,168cm,人际关系敏感度,offic办公软件,综合素养,语言沟通
软件顾问,各类交易规则,用户服务意识,沟通表达理,目标敏感,从业资格考试,抗压性,,,,
QT开发工程师,图形化软件,windows,声卡芯片,tcp,国产芯片,国产操作系统,化办公软件,统服务程序,,
人工智能芯片软件工程师,c++,linux操作命令4,深度神经网络模型,caffe,,,,,,
活动运营,营销传播意识,游戏运营的各种情况,活动统筹执,文笔较为出众,论坛管理,嗅觉敏锐,团队配合意识,文案功底,文案基础,文字编辑
证券交易员,抗压性,,,,,,,,,
财务助理,excel函,财务软件,职业操,银行结算业务,1年以上工作经验,税务法规,操作系统的基础知识,独立学习,财税政策,结算报销
分析师助理,产品运营,移动营销,市场分析,合作性,英文书面,逻辑思考力,书面表达,化办公软件,,
金融科技管培生,精力充沛,适应经常外出访客,营销网络,销售成本控管经验,身心健康,市场分析,进取心,开拓精神,职业道德操守,抗压性
质量体系管理,业务流程,工厂管理,成本管理,抗压性,质量管理,,,,,
电源测试,硬件电路,电源测试的各类仪器,,,,,,,,
数字化运营管理岗,组织沟通,职业操,高度额责任心,,,,,,,
销售客服,反映敏捷,交际技巧,普通话标准,亲和؜力,市场分析,服务意识足,offic办公软件,抗压性,用户服务意识,excel
产品经理,axcure,逻辑思考力,excel函,互联网产品,产品设计,执行力,逻辑性,同理心,数据变化敏感度,数据结构
经营管理管培生,数据变化敏感度,商务沟通,高度额责任心,,,,,,,
客户助理,文案写作功底,策略思维,创意策划,发散性思维,无论口语,洞察力,英文功底,offic办公软件,课程学习成绩,极富团队合作精神
交互设计师,服务设计意识,移动端用户体验,设计知识,图标设计,行业视野,figma,用户体验原则,交互设计方法,用户体验地图方法,热衷于产品设计
分析研究员,药物分析,溶出仪,药物制剂理论,机化学,细胞培养操作经验,分析化学,紫外分光光度仪,流式细胞仪,高效液相,常用检验仪器设备
商业咨询顾问,,,,,,,,,,
深度学习算法工程师,c++,caffe,python程序,机器学习,机器学习基础,英语听力,目标检测算法,算法实现,面向对象方法,机器学习基本概念
机器人运营,内容敏捷度,管理思维,ppt操作,文字功底,服务意识足,产品思维,学上进心,excel函,逻辑思考力,
软件实施管培生,学生会干部,社团干部经验,,,,,,,,
资产配置研究,合作协调沟通,python程序,数据变化敏感度,抗压性,高度额责任心,极富团队合作精神,,,,
财务出纳,职业资格证书,结算报销,化办公软件,使命感,高度额责任心,责任感6,服务意识足,财务软件,职业道德水平,微软标准办公软件
量化分析师,自驱性,statsmodels,python程序,numpy,优化策略,数字敏感性,pandas,linux操作系统,数理基础,团队意识
金融理财管培生,学习的意识,谈判技巧,,,,,,,,
注册工程师,听说读写,英语四级通,抗压性,逻辑思考力,高度额责任心,极富团队合作精神,,,,
运维技术员,linux操作系统,高度额责任心,,,,,,,,
